# simp: 
# trad: 
# prop: 
# ./table/freq_simp.txt total freq: 0
# ./table/freq_simp.txt total freq: 0
的	95095894
是	35257299
一	29110863
不	25784445
不	25784445
有	22490781
了	20549904
了	20549904
我	20173919
以	19813336
和	19631097
在	19591838
可	19347362
这	17465471
个	16983561
能	15962949
人	15688822
要	14786029
你	14229091
你	14229091
你	14229091
您	13450797
用	11573672
为	11463273
如	10927926
好	10684276
来	10671530
到	10645721
会	10374569
中	10222718
上	10030116
时	9979403
大	9674393
么	9405368
他	9140584
就	8601497
多	8438597
多	8438597
多	8438597
下	8283374
也	8232949
们	8190999
或	8093975
生	7966204
对	7929890
果	7864060
过	7602195
些	7361814
学	7292501
问	7289298
地	7287652
方	7250408
行	7224088
行	7224088
自	7169680
出	7007828
更	6866050
更	6866050
于	6762543
说	6598470
需	6537761
法	6406508
后	6377631
都	6365175
都	6365175
都	6365175
因	6175718
题	6157045
还	6122494
没	6073135
很	5874250
作	5805314
国	5758326
看	5735053
定	5724390
等	5641634
同	5612631
得	5578605
理	5569877
理	5569877
子	5530778
发	5529467
关	5463136
家	5442838
而	5396514
所	5350210
提	5347109
种	5283133
解	5275511
并	5262383
成	5252161
成	5252161
成	5252161
其	5242894
体	5196622
信	5169516
分	5156821
面	5111283
机	5102589
但	5030220
然	4998801
情	4979081
现	4968214
进	4953433
动	4944343
那	4865028
常	4767144
年	4708188
年	4708188
最	4676945
最	4676945
最	4676945
小	4644927
之	4605645
通	4603541
经	4591943
业	4531722
实	4525602
什	4512426
什	4512426
者	4464779
者	4464779
者	4464779
者	4464779
者	4464779
者	4464779
力	4455870
力	4455870
意	4449456
高	4444923
想	4392626
工	4360402
建	4342592
使	4254275
相	4253509
本	4245297
性	4217806
开	4213678
点	4200880
保	4198275
确	4149449
手	4123466
己	4105522
当	4076653
当	4076653
当	4076653
主	4055167
去	4043022
前	4025831
无	3985055
文	3983857
电	3977270
应	3975876
道	3952156
重	3938321
间	3923046
感	3898871
里	3877553
里	3877553
合	3825261
比	3799968
样	3796543
天	3759469
内	3676965
加	3676584
助	3654502
选	3649580
心	3635339
数	3589265
系	3559646
议	3555687
度	3503968
度	3503968
度	3503968
事	3480681
帮	3443687
息	3440918
新	3439329
着	3407909
着	3407909
着	3407909
程	3396036
公	3384541
此	3362664
起	3328192
起	3328192
起	3328192
品	3258845
供	3249929
知	3228670
全	3226618
全	3226618
全	3226618
只	3214909
外	3211615
求	3171472
考	3168759
产	3137612
具	3134379
具	3134379
具	3134379
量	3127615
量	3127615
件	3125781
回	3100674
物	3093676
被	3046759
接	3044518
部	3026007
据	3018316
正	3005541
吗	2929015
与	2902254
请	2874170
化	2861176
做	2856718
表	2834213
车	2806564
该	2785342
明	2760267
将	2746265
将	2746265
将	2746265
况	2745848
况	2745848
况	2745848
况	2745848
况	2745848
身	2735859
入	2728804
它	2715138
试	2698890
从	2695593
式	2681143
设	2674756
制	2663958
安	2652741
真	2644772
真	2644772
真	2644772
真	2644772
真	2644772
水	2639727
网	2579627
怎	2545280
何	2541618
长	2538666
给	2514093
资	2478510
决	2458269
容	2452409
计	2450955
让	2420975
择	2414966
务	2413606
期	2406670
持	2392359
打	2379939
名	2366820
啊	2362785
话	2357585
医	2336405
语	2335545
别	2331588
非	2322754
特	2312184
已	2301432
适	2284061
平	2282202
次	2271648
次	2271648
次	2271648
位	2268701
觉	2254476
注	2232152
取	2220748
少	2204290
导	2200176
交	2197500
几	2187838
日	2186283
游	2176359
代	2168553
受	2167360
美	2163065
老	2157788
老	2157788
找	2150338
两	2146387
专	2137803
活	2136149
价	2133839
三	2116195
查	2114736
影	2098267
服	2089458
及	2088984
及	2088984
及	2088984
先	2088233
任	2083258
她	2081891
认	2075369
原	2073840
女	2070778
女	2070778
格	2069992
场	2063374
直	2050314
直	2050314
直	2050314
直	2050314
直	2050314
型	2041344
型	2041344
型	2041344
器	2021533
器	2021533
器	2021533
单	2014139
根	1992147
质	1990791
够	1989552
口	1978017
望	1970534
望	1970534
望	1970534
望	1970534
望	1970534
目	1959759
备	1952728
习	1950746
算	1950349
头	1947532
利	1944826
利	1944826
结	1942340
第	1938377
哪	1926659
答	1924744
向	1921828
论	1920586
完	1913256
太	1903397
统	1892245
线	1886930
基	1886859
变	1879081
且	1871848
引	1870030
类	1862415
类	1862415
类	1862415
较	1861977
证	1859237
联	1858172
金	1856437
金	1856437
把	1848762
包	1823377
包	1823377
包	1823377
处	1820697
区	1818277
指	1815930
市	1815641
否	1811169
才	1801574
员	1796660
管	1795358
教	1779709
路	1778866
路	1778866
例	1774217
例	1774217
月	1768479
由	1768348
师	1764036
清	1762098
技	1758740
流	1757800
流	1757800
流	1757800
流	1757800
流	1757800
流	1757800
抱	1756991
抱	1756991
抱	1756991
戏	1744232
候	1734792
运	1730324
色	1727014
商	1712958
存	1712827
每	1705246
吧	1703600
术	1698929
反	1696461
复	1694597
言	1691724
再	1689403
再	1689403
再	1689403
门	1674964
快	1674544
买	1672951
置	1668490
放	1666829
号	1661743
义	1660049
询	1659548
步	1657946
见	1657679
思	1651486
图	1650451
社	1649360
社	1649360
社	1649360
希	1645358
气	1636162
治	1635348
规	1630222
政	1623578
装	1617812
二	1609984
支	1601591
准	1596708
强	1593340
级	1588879
记	1580603
民	1578275
户	1576221
司	1573399
友	1572549
字	1549927
费	1544140
素	1539604
科	1537942
风	1535356
便	1532159
便	1532159
歉	1532007
总	1531800
款	1527712
西	1520570
听	1515540
模	1514443
标	1479843
视	1466917
致	1457194
白	1453469
收	1440415
哈	1436841
难	1431069
虑	1426496
像	1425320
像	1425320
像	1425320
调	1415531
功	1412920
各	1412381
食	1411845
又	1394972
战	1388088
效	1385655
细	1385185
站	1384641
获	1383552
楼	1378156
爱	1376390
喜	1375969
疗	1368151
宝	1366735
音	1363196
至	1362629
响	1357729
值	1349248
带	1349138
东	1346680
欢	1342842
立	1333203
立	1333203
十	1328118
传	1327658
状	1325152
观	1322340
片	1304022
验	1302504
书	1302128
识	1299988
必	1294821
形	1280412
形	1280412
形	1280412
则	1277232
达	1277200
吃	1277170
整	1276635
转	1273796
示	1273157
改	1272683
权	1270217
展	1268030
男	1264623
首	1263432
谢	1261025
卡	1253323
节	1244032
乐	1241928
台	1239861
易	1236825
易	1236825
写	1235455
英	1233439
校	1233210
呢	1227634
案	1225450
报	1218851
空	1210350
配	1208354
命	1206068
尝	1204744
孩	1204700
照	1199846
免	1199299
免	1199299
免	1199299
免	1199299
免	1199299
始	1198151
条	1196052
病	1191053
许	1188018
告	1187780
除	1183350
项	1182155
推	1181421
造	1177559
钱	1174377
世	1174320
院	1171809
维	1168042
